שנה א,Year_1,בשלח,Bshalah,Shmot,הלכות תפילת שמונה עשרה,https://he.m.wikisource.org/wiki/%D7%91%D7%9F_%D7%90%D7%99%D7%A9_%D7%97%D7%99_%D7%A9%D7%A0%D7%94_%D7%90_%D7%91%D7%A9%D7%9C%D7%97
שנה א,Year_1,יתרו,Yitro,Shmot,הלכות תפילת שמונה עשרה - המשך,https://he.m.wikisource.org/wiki/%D7%91%D7%9F_%D7%90%D7%99%D7%A9_%D7%97%D7%99_%D7%A9%D7%A0%D7%94_%D7%90_%D7%99%D7%AA%D7%A8%D7%95
שנה א,Year_1,משפטים,Mishpatim,Shmot,הלכות תפילת שמונה עשרה - המשך,https://he.m.wikisource.org/wiki/%D7%91%D7%9F_%D7%90%D7%99%D7%A9_%D7%97%D7%99_%D7%A9%D7%A0%D7%94_%D7%90_%D7%9E%D7%A9%D7%A4%D7%98%D7%99%D7%9D
שנה א,Year_1,תרומה,Truma,Shmot,הלכות חזרת התפילה,https://he.m.wikisource.org/wiki/%D7%91%D7%9F_%D7%90%D7%99%D7%A9_%D7%97%D7%99_%D7%A9%D7%A0%D7%94_%D7%90_%D7%AA%D7%A8%D7%95%D7%9E%D7%94
שנה א,Year_1,תצוה,Ttsave,Shmot,הלכות ברכת כהנים והלכות פורים,https://he.m.wikisource.org/wiki/%D7%91%D7%9F_%D7%90%D7%99%D7%A9_%D7%97%D7%99_%D7%A9%D7%A0%D7%94_%D7%90_%D7%AA%D7%A6%D7%95%D7%94
שנה א,Year_1,כי תשא,Kitisa,Shmot,הלכות תפילה עד עלינו לשבח,https://he.m.wikisource.org/wiki/%D7%91%D7%9F_%D7%90%D7%99%D7%A9_%D7%97%D7%99_%D7%A9%D7%A0%D7%94_%D7%90_%D7%9B%D7%99_%D7%AA%D7%A9%D7%90
שנה א,Year_1,ויקהל,Vayakhel,Shmot,הלכות תפילת מנחה,https://he.m.wikisource.org/wiki/%D7%91%D7%9F_%D7%90%D7%99%D7%A9_%D7%97%D7%99_%D7%A9%D7%A0%D7%94_%D7%90_%D7%95%D7%99%D7%A7%D7%94%D7%9C
שנה א,Year_1,פקודי,Pkude,Shmot,הלכות תפילת ערבית,https://he.m.wikisource.org/wiki/%D7%91%D7%9F_%D7%90%D7%99%D7%A9_%D7%97%D7%99_%D7%A9%D7%A0%D7%94_%D7%90_%D7%A4%D7%A7%D7%95%D7%93%D7%99
שנה א,Year_1,ויקרא,Vayikra,Vayikra,הלכות בית הכנסת ומורא מקדש מעט,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%95%D7%99%D7%A7%D7%A8%D7%90
שנה א,Year_1,צו,Tsav,Vayikra,הלכות פסח - ערב פסח שחל בשבת - הלכות עירוב תבשילין,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%A6%D7%95
